Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,,전날 종가와 오늘 시가의 오차
2021-05-12,428.74,428.96,419.11,421.86,295194358,-0.0161,0,-6.91,1.61E+13,1.91E+15,-0.016115866,-0.660723373,45.60058385,428.292,428.5415,420.5838333,436.9318689,420.1511311,5.79,2.26
2021-05-13,419.6,421.07,414.28,416.07,379123151,-0.0137,0,-5.79,1.65E+13,1.88E+15,-0.013724932,-1.299382142,40.41910648,426.178,427.8095,420.3643333,437.7302953,417.8887047,4.1,1.43
2021-05-14,417.5,421.75,417.5,420.17,199291351,0.0099,1,4.1,1.06E+13,1.90E+15,0.009854111,-1.38330626,45.17016237,424.5,427.185,420.2971667,437.3746565,416.9953435,1.9,1.8
2021-05-17,421.97,423.19,416.08,418.27,206999058,-0.0045,0,-1.9,9.87E+12,1.89E+15,-0.004521979,-1.494887153,43.44137677,421.028,426.477,420.311,437.0702754,415.8837246,4.82,0.01
2021-05-18,418.28,423.93,418.28,423.09,174859628,0.0115,1,4.82,9.05E+12,1.91E+15,0.011523657,-1.185691671,48.79535905,419.892,426.0335,420.3468333,436.411959,415.655041,1.41,0.29
2021-05-20,423.38,423.38,419.07,421.68,181884049,-0.0033,0,-1.41,9.72E+12,1.91E+15,-0.003332624,-1.023851862,47.38232943,419.856,425.3875,420.4268333,435.1423324,415.6326676,0.4,1.44
2021-05-21,423.12,427.75,420.7,422.08,196316668,0.0009,1,0.4,1.10E+13,1.90E+15,0.000948587,-0.845012106,47.84375813,421.058,425.154,420.5311667,434.990427,415.317573,1.51,0.16
2021-05-24,421.92,423.09,419.38,420.57,177689265,-0.0036,0,-1.51,8.63E+12,1.90E+15,-0.003577521,-0.784857973,46.19678551,421.138,424.814,420.7546667,434.7896391,414.8383609,3.78,1.34
2021-05-25,421.91,424.83,421.2,424.35,176015777,0.009,1,3.78,8.66E+12,1.91E+15,0.008987802,-0.462862777,50.76584794,422.354,424.6145,420.7851667,434.4588232,414.7701768,0.81,0.11
2021-05-26,424.46,426.05,422.55,423.54,199313860,-0.0019,0,-0.81,9.67E+12,1.91E+15,-0.001908802,-0.285498314,49.79009531,422.444,424.1735,421.0123333,433.3585493,414.9884507,0.54,0.38
