Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans,,
2019-01-10,265.73,266.85,264.61,265.55,99826751,-0.0002,2,-0.05,3.98949E+12,1.179E+15,-0.000188253,0.563456019,51.54882867,262.052,263.4525,268.212,270.6497991,256.2552009,267.13,1.58,1.03
2019-01-11,266.58,267.58,265.56,267.13,81083817,0.0059,1,1.58,3.26083E+12,1.18587E+15,0.005949915,0.861618114,54.03414437,263.9,263.5745,268.0491667,270.9324956,256.2165044,264.99,2.14,0.91
2019-01-14,266.22,266.7,264.23,264.99,74929076,-0.008,2,-2.14,3.325E+12,1.1779E+15,-0.008011081,0.887884683,50.27273046,264.584,263.4005,267.7981667,270.4451106,256.3558894,269.93,4.94,0.63
2019-01-15,265.62,270.02,265.37,269.93,87169802,0.0186,1,4.94,3.51345E+12,1.19756E+15,0.018642213,1.192160858,57.60869888,266.64,263.4265,267.6723333,270.562878,256.290122,271.23,1.3,0.03
2019-01-16,269.96,271.28,269.05,271.23,100498222,0.0048,1,1.3,3.41624E+12,1.20218E+15,0.004816063,1.419723937,59.30988881,267.766,263.7105,267.549,271.5770328,255.8439672,271.88,0.65,0.43
2019-01-17,271.66,273.05,270.81,271.88,86748241,0.0024,1,0.65,3.85497E+12,1.20366E+15,0.00239649,1.54255818,60.1705555,269.032,263.988,267.4236667,272.5641357,255.4118643,273.88,2,1.14
2019-01-18,273.02,273.95,272.56,273.88,78967732,0.0074,1,2,3.48141E+12,1.21325E+15,0.007356187,1.675949288,62.77930241,270.382,264.423,267.446,274.0187993,254.8272007,274,0.12,1.11
2019-01-21,274.99,275.14,272.29,274,86547203,0.0004,1,0.12,3.59153E+12,1.21302E+15,0.000438148,1.685167618,62.93616306,272.184,264.7575,267.49,275.1646435,254.3503565,272.71,1.29,0.08
2019-01-22,274.08,274.6,271.45,272.71,68867101,-0.0047,2,-1.29,3.20181E+12,1.20879E+15,-0.004708029,1.522249871,60.00840791,272.74,265.1525,267.5898333,276.1221142,254.1828858,273.87,1.16,1.36
2019-01-23,271.35,274.51,271.03,273.87,99955945,0.0043,1,1.16,3.46875E+12,1.21475E+15,0.004253603,1.412864744,61.73233698,273.268,265.593,267.7761667,277.2013386,253.9846614,276.61,2.74,0.23
2019-01-24,274.1,276.64,273.74,276.61,132858044,0.01,1,2.74,4.13543E+12,1.22428E+15,0.010004747,1.440378681,65.51390548,274.214,266.201,268.0498333,278.7424687,253.6595313,281.67,5.06,0.69
2019-01-25,277.3,281.72,277.04,281.67,115510069,0.0183,1,5.06,5.04367E+12,1.24447E+15,0.018292903,1.697030038,71.17819935,275.772,267.2355,268.3698333,281.2145521,253.2564479,281.64,0.03,0.89
2019-01-28,282.56,283.46,280.47,281.64,95967224,-0.0001,2,-0.03,4.37193E+12,1.24422E+15,-0.000106508,1.755146418,71.10363195,277.3,268.289,268.6636667,283.2418123,253.3361877,283,1.36,0.52
2019-01-29,281.12,283,279.65,283,130944151,0.0048,1,1.36,4.20989E+12,1.24889E+15,0.00482886,1.770484585,72.50963054,279.358,269.34,268.9978333,285.292749,253.387251,286.62,3.62,0.14
2019-01-30,282.86,286.63,282.24,286.62,134732109,0.0128,1,3.62,4.9286E+12,1.26298E+15,0.012791519,1.898398771,75.8745277,281.908,270.7595,269.2321667,287.5363751,253.9826249,285.89,0.73,2.23
2019-01-31,288.85,288.87,285.89,285.89,153503910,-0.0025,2,-0.73,5.95479E+12,1.26123E+15,-0.002546926,1.808234279,73.90984473,283.764,272.2655,269.4958333,288.7954963,255.7355037,285.79,0.1,1.18
2019-02-01,287.07,288.34,285.43,285.79,114631068,-0.0003,2,-0.1,4.81994E+12,1.25931E+15,-0.000349785,1.622192666,73.6285868,284.588,273.6605,269.7328333,289.8069578,257.5140422,285.65,0.14,1.75
2019-02-07,287.54,287.67,284.97,285.65,100691203,-0.0005,2,-0.14,4.31036E+12,1.25857E+15,-0.00048987,1.379559728,73.20855994,285.39,274.8645,269.9861667,290.8151495,258.9138505,281.49,4.16,1.8
2019-02-08,283.85,284.01,280.95,281.49,88711061,-0.0146,2,-4.16,3.99697E+12,1.24204E+15,-0.014563277,0.854484358,61.90739739,285.088,275.9565,270.1425,290.5214103,261.3915897,282.1,0.61,0.26
2019-02-11,281.75,282.19,280.02,282.1,79973737,0.0022,1,0.61,3.71909E+12,1.24493E+15,0.00216704,0.482367576,62.81388781,284.184,276.7815,270.322,290.7640324,262.7989676,283.69,1.59,0.02
2019-02-12,282.12,284.32,281.43,283.69,92106932,0.0056,1,1.59,4.3213E+12,1.25073E+15,0.005636299,0.287071148,65.1423674,283.744,277.6885,270.524,290.9752141,264.4017859,284.97,1.28,1.4
2019-02-13,285.09,285.59,284.13,284.97,93292244,0.0045,1,1.28,3.94671E+12,1.25657E+15,0.004511967,0.192402285,66.93721909,283.58,278.5805,270.7785,291.2951285,265.8658715,288.68,3.71,0.72
2019-02-14,284.25,288.68,282.91,288.68,112394979,0.013,1,3.71,4.84802E+12,1.27165E+15,0.013018914,0.320405927,71.51536802,284.186,279.765,271.1085,291.5764038,267.9535962,283.98,4.7,2.26
2019-02-15,286.42,286.42,282.81,283.98,77187790,-0.0163,2,-4.7,3.63296E+12,1.25289E+15,-0.016281003,0.043829397,60.15195228,284.684,280.4675,271.3158333,291.5012226,269.4337774,285.9,1.92,1.62
2019-02-18,285.6,287.02,284.64,285.9,73482620,0.0068,1,1.92,3.4262E+12,1.26174E+15,0.00676104,-0.04945851,62.75546738,285.444,281.201,271.5533333,291.6138323,270.7881677,284.91,0.99,0.54
2019-02-19,285.36,286.12,283.16,284.91,62750439,-0.0035,2,-0.99,3.12025E+12,1.25798E+15,-0.003462749,-0.208571029,60.55838673,285.688,281.8525,271.7633333,291.4496035,272.2553965,288.4,3.49,1.64
2019-02-20,286.55,289.22,286.21,288.4,88582603,0.0122,1,3.49,4.35873E+12,1.27319E+15,0.012249482,-0.114221688,65.18568224,286.374,282.5785,272.077,291.8444533,273.3125467,288.41,0.01,0.97
2019-02-21,287.43,289.28,286.05,288.41,88241133,0,1,0.01,3.98896E+12,1.2725E+15,3.47E-05,-0.087778448,65.19828113,286.32,283.299,272.4126667,292.0090262,274.5889738,288.74,0.33,1.12
2019-02-22,287.29,288.74,286.54,288.74,70343270,0.0011,1,0.33,3.11376E+12,1.27382E+15,0.001144204,-0.084661918,65.64018125,287.272,284.1005,272.7623333,291.6364445,276.5645555,289,0.26,1.45
2019-02-25,290.19,290.32,287.84,289,73419643,0.0009,1,0.26,3.45332E+12,1.27461E+15,0.000900464,-0.100603766,66.0064201,287.892,284.857,273.1401667,291.0513268,278.6626732,287.89,1.11,0.48
2019-02-26,288.52,289.2,287.06,287.89,81326244,-0.0038,2,-1.11,3.65186E+12,1.27046E+15,-0.00384083,-0.214856241,62.9228336,288.488,285.421,273.4418333,290.4543404,280.3876596,288.76,0.87,1.01
2019-02-27,288.9,289.41,288.09,288.76,72744240,0.003,1,0.87,3.61339E+12,1.27519E+15,0.003021988,-0.257889935,64.32940339,288.56,285.7755,273.7198333,290.6996871,280.8513129,283.8,4.96,0.63
2019-02-28,288.13,288.62,283.8,283.8,129089236,-0.0172,2,-4.96,6.16814E+12,1.25486E+15,-0.017176894,-0.625498374,52.17657363,287.638,285.8835,273.8923333,290.5268836,281.2401164,282.51,1.29,2.32
2019-03-04,286.12,286.68,282.16,282.51,107549409,-0.0045,2,-1.29,4.95135E+12,1.24981E+15,-0.004545455,-0.941636872,49.55450675,286.392,285.859,274.0315,290.5676937,281.1503063,280.45,2.06,1.09
2019-03-05,281.42,281.89,279.53,280.45,78805311,-0.0073,2,-2.06,3.71467E+12,1.24244E+15,-0.007291777,-1.255935924,45.61252577,284.682,285.5505,274.1831667,290.7970931,280.3039069,279.85,0.6,0.36
