Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans,<-다음날종가,,전날 종가와 다음날 시가 오차,
2024-02-26,356.75,357.14,352.91,355.48,140518627,-0.0086,2,-3.09,7.69E+12,1.87E+15,-0.008617564,0.409501789,57.65810647,356.936,350.323,343.8678333,366.3897036,334.2562964,352.76,,,0.91,2.159634146
2024-02-27,356.39,356.42,352.02,352.76,137863814,-0.0077,2,-2.72,8.05E+12,1.86E+15,-0.007651626,-0.052657779,53.84360047,356.104,351.2505,344.1218333,365.5319558,336.9690442,356.79,,,0.3,2.159634146
2024-02-28,353.06,357.51,352.31,356.79,127223726,0.0114,1,4.03,7.22E+12,1.88E+15,0.011424198,-0.120464837,58.25065495,356.254,352.198,344.458,365.2570147,339.1389853,355.57,,,1.41,2.159634146
2024-02-29,355.38,356.46,353.29,355.57,187600006,-0.0034,2,-1.22,1.05E+13,1.87E+15,-0.003419378,-0.272312995,56.49214815,355.834,353.1025,344.7436667,364.3370696,341.8679304,361.1,,,3.42,2.159634146
2024-03-04,358.99,361.98,358.48,361.1,152490412,0.0156,1,5.53,9.21E+12,1.89E+15,0.015552493,-0.037486468,62.08018693,356.34,354.3455,345.182,363.0609219,345.6300781,357.59,,,1.71,2.159634146
2024-03-05,359.39,362.54,357.59,357.59,134877064,-0.0097,2,-3.51,8.92E+12,1.87E+15,-0.009720299,-0.149435976,57.06986868,356.762,355.1045,345.5395,361.9797003,348.2292997,356.25,,,1.58,2.159634146
2024-03-06,356.01,357.25,354.52,356.25,123866358,-0.0037,2,-1.34,7.98E+12,1.87E+15,-0.003747308,-0.33404448,55.23702698,357.46,355.2455,345.9295,362.0931638,348.3978362,356.82,,,1.55,2.159634146
2024-03-07,357.8,358.61,354.96,356.82,120269675,0.0016,1,0.57,7.92E+12,1.87E+15,0.0016,-0.431863661,55.88603332,357.466,355.629,346.319,361.9033124,349.3546876,361.71,,,4.05,2.159634146
2024-03-08,360.87,362.72,360.01,361.71,117519660,0.0137,1,4.89,8.38E+12,1.90E+15,0.013704389,-0.193480519,61.0971428,358.694,356.3245,346.803,362.0314413,350.6175587,358.34,,,2.4,2.159634146
2024-03-11,359.31,360.94,358.2,358.34,120788890,-0.0093,2,-3.37,6.52E+12,1.88E+15,-0.009316856,-0.283561635,56.17240795,358.142,356.629,347.1653333,362.0778931,351.1801069,361.11,,,1.61,2.159634146
2024-03-12,359.95,362,357.88,361.11,125853290,0.0077,1,2.77,7.22E+12,1.90E+15,0.007730089,-0.182308833,59.09126329,358.846,357.02,347.5516667,362.5756278,351.4643722,363.04,,,2.04,2.159634146
2024-03-13,363.15,364.43,361.26,363.04,133917267,0.0053,1,1.93,7.74E+12,1.91E+15,0.005344632,-0.019630796,61.03826133,360.204,357.303,347.9395,363.4484702,351.1575298,366.68,,,0.81,2.159634146
2024-03-14,363.85,366.68,363.5,366.68,266383462,0.01,1,3.64,1.13E+13,1.93E+15,0.010026443,0.282192484,64.47258925,362.176,358.0025,348.4395,365.0124412,350.9925588,359.39,,,2.56,2.159634146
2024-03-15,364.12,364.67,359.39,359.39,201924115,-0.0199,2,-7.29,1.02E+13,1.89E+15,-0.019881095,-0.042763007,54.17345351,361.712,358.4115,348.7405,364.7065434,352.1164566,361.31,,,1.35,2.159634146
2024-03-18,360.74,361.77,358.53,361.31,120543843,0.0053,1,1.92,6.58E+12,1.91E+15,0.005342386,-0.155678437,56.15980688,362.306,358.701,349.0291667,364.970006,352.431994,357.33,,,2.28,2.159634146
2024-03-19,359.03,359.07,355.51,357.33,147010034,-0.011,2,-3.98,7.52E+12,1.89E+15,-0.011015471,-0.505941444,51.20508793,361.55,358.5235,349.2596667,364.7364487,352.3105513,363.32,,,3.74,2.159634146
2024-03-20,361.07,363.58,359.93,363.32,147686334,0.0168,1,5.99,9.75E+12,1.91E+15,0.016763216,-0.349192698,57.30961378,361.606,358.8435,349.5825,365.3456666,352.3413334,373.66,,,6.65,2.159634146
2024-03-21,369.97,373.82,368.82,373.66,154725585,0.0285,1,10.34,1.07E+13,1.96E+15,0.02845976,0.395526883,65.36476858,363.002,359.7245,349.975,368.7526415,350.6963585,372.65,,,0.39,2.159634146
2024-03-22,373.27,375.1,370.71,372.65,138509491,-0.0027,2,-1.01,8.68E+12,1.96E+15,-0.002702992,0.744503791,64.0926214,365.654,360.4735,350.3728333,371.0486052,349.8983948,370.73,,,1.04,2.159634146
2024-03-25,373.69,375.23,369.77,370.73,118921405,-0.0052,2,-1.92,7.11E+12,1.95E+15,-0.005152288,0.767371963,61.63679198,367.538,361.0815,350.7325,372.5125407,349.6504593,374.6,,,3.04,2.159634146
2024-03-26,373.77,377.83,373.18,374.6,135106857,0.0104,1,3.87,9.11E+12,1.96E+15,0.010438864,0.952397988,64.58258008,370.992,362.0375,351.1353333,374.5789335,349.4960665,374.08,,,2.02,2.159634146
2024-03-27,372.58,375.33,372.48,374.08,147626755,-0.0014,2,-0.52,8.74E+12,1.96E+15,-0.001388147,0.947031792,63.87287144,373.144,363.1035,351.4956667,375.9305063,350.2764937,373.22,,,0.3,2.159634146
2024-03-28,373.78,374.8,372.23,373.22,134092316,-0.0023,2,-0.86,7.97E+12,1.95E+15,-0.002298973,0.798756262,62.64672357,373.056,363.925,351.7495,377.1283821,350.7216179,374.63,,,1.82,2.159634146
2024-03-29,375.04,375.56,372.77,374.63,136759048,0.0038,1,1.41,8.03E+12,1.95E+15,0.003777933,0.711726348,63.87129507,373.452,364.878,351.9841667,378.2815318,351.4744682,374.28,,,3.03,2.159634146
2024-04-01,377.66,378.29,374.19,374.28,117500892,-0.0009,2,-0.35,7.19E+12,1.95E+15,-0.000934255,0.553704995,63.31640708,374.162,365.537,352.3688333,379.4201698,351.6538302,376.34,,,0.12,2.159634146
2024-04-02,374.16,377.29,373.44,376.34,149553722,0.0055,1,2.06,9.87E+12,1.96E+15,0.005503901,0.512009889,65.23099672,374.51,366.4745,352.84,380.6144002,352.3345998,369.72,,,3.25,2.159634146
2024-04-03,373.09,373.63,369.72,369.72,155080645,-0.0176,2,-6.62,9.89E+12,1.92E+15,-0.017590477,-0.00969275,55.25121342,373.638,367.148,353.215,380.539077,353.756923,375.61,,,4.73,2.159634146
2024-04-04,374.45,376.2,373.39,375.61,129760939,0.0159,1,5.89,8.46E+12,1.95E+15,0.015930975,-0.006525231,60.97234048,374.116,368.0875,353.7155,381.0789539,355.0960461,371.57,,,4.1,2.159634146
2024-04-05,371.51,374.13,370.2,371.57,160477318,-0.0108,2,-4.04,7.98E+12,1.93E+15,-0.010755837,-0.30823984,55.71104837,373.504,368.5805,354.1781667,381.3122218,355.8487782,372.51,,,1.05,2.159634146
2024-04-08,372.62,373.96,371.6,372.51,117622792,0.0025,1,0.94,7.53E+12,1.94E+15,0.002529806,-0.466717777,56.64838587,373.15,369.289,354.709,381.2139099,357.3640901,370.27,,,2.15,2.159634146
2024-04-09,374.66,375.47,369.96,370.27,124591852,-0.006,2,-2.24,7.23E+12,1.92E+15,-0.006013261,-0.728986493,53.73013023,371.936,369.747,355.2088333,381.0685584,358.4254416,370.72,,,5.74,2.159634146
2024-04-11,364.53,372.49,364.18,370.72,147049091,0.0012,1,0.45,8.99E+12,1.93E+15,0.001215329,-0.869229676,54.24012974,372.136,370.131,355.7505,381.0296438,359.2323562,367.25,,,0.48,2.159634146
2024-04-12,371.2,371.43,366.48,367.25,163653613,-0.0094,2,-3.47,8.32E+12,1.90E+15,-0.009360164,-1.173821931,49.69174329,370.464,370.1595,356.2173333,381.0248274,359.2941726,365.31,,,2.97,2.159634146
2024-04-15,364.28,365.74,361.01,365.31,122918368,-0.0053,2,-1.94,7.41E+12,1.90E+15,-0.005282505,-1.465141369,47.30345663,369.212,370.4555,356.727,380.416021,360.494979,356.67,,,3.8,2.159634146
2024-04-16,361.51,362.05,355.2,356.67,137545226,-0.0237,2,-8.64,8.64E+12,1.85E+15,-0.023651146,-2.157109209,38.44200374,366.044,370.2235,357.2363333,381.1905712,359.2564288,352.79,,,1.54,2.159634146
2024-04-17,358.21,359.11,352.79,352.79,108345614,-0.0109,2,-3.88,7.07E+12,1.83E+15,-0.010878403,-2.75523304,35.24858136,362.548,369.9965,357.664,382.1458807,357.8471193,359.06,,,1.46,2.159634146
2024-04-18,354.25,360.33,353.48,359.06,155191660,0.0178,1,6.27,7.95E+12,1.87E+15,0.017772613,-2.609153604,43.42717635,360.216,369.7835,358.0985,382.5283912,357.0386088,352.58,,,5.16,2.159634146
2024-04-19,353.9,355.37,347.12,352.58,163740323,-0.018,2,-6.48,9.83E+12,1.84E+15,-0.018047123,-2.812008128,38.07466439,357.282,368.7295,358.431,383.3642265,354.0947735,356.89,,,3.1,2.159634146
2024-04-22,355.68,357.48,353.72,356.89,152399819,0.0122,1,4.31,8.77E+12,1.87E+15,0.012224176,-2.527932001,43.09819491,355.598,367.9415,358.7963333,383.3250019,352.5579981,355.98,,,0.67,2.159634146
2024-04-23,357.56,358.83,355.86,355.98,131148578,-0.0025,2,-0.91,7.99E+12,1.86E+15,-0.002549805,-2.280915452,42.31762684,355.46,367.204,359.1748333,383.3761012,351.0318988,363.6,,,5.68,2.159634146
2024-04-24,361.66,364.07,361.34,363.6,115523781,0.0214,1,7.62,7.65E+12,1.90E+15,0.021405697,-1.520512804,50.4158997,357.622,366.654,359.6715,382.5280183,350.7799817,356.51,,,4.55,2.159634146
2024-04-25,359.05,360.57,356.51,356.51,107773419,-0.0195,2,-7.09,6.82E+12,1.86E+15,-0.01949945,-1.413483537,44.19819908,357.112,365.7755,360.0431667,381.8518323,349.6991677,361.02,,,3.67,2.159634146
2024-04-26,360.18,362.08,358.98,361.02,154220662,0.0127,1,4.51,7.72E+12,1.88E+15,0.012650417,-0.978080183,48.54532403,358.8,365.1655,360.4295,380.9894976,349.3415024,364.48,,,2.69,2.159634146
2024-04-29,363.71,364.73,362.13,364.48,145790519,0.0096,1,3.46,7.61E+12,1.90E+15,0.009583957,-0.42446218,51.65684773,360.318,364.658,360.8795,379.8746785,349.4413215,365.13,,,0.69,2.159634146
2024-04-30,365.17,367.94,364.2,365.13,130226988,0.0018,1,0.65,7.93E+12,1.91E+15,0.001783363,-0.004131298,52.24113205,362.148,364.2005,361.361,378.7688925,349.6321075,364.31,,,1.76,2.159634146
2024-05-02,363.37,365.69,363.37,364.31,107164522,-0.0022,2,-0.82,6.70E+12,1.90E+15,-0.002245775,0.216820812,51.39718772,362.29,363.599,361.726,377.0645024,350.1334976,363.58,,평균,2.159634146,
,,,,,,,,,,,,,,,,,,,,,,1.82,
